CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
15634602,Hargrave,619,France,Female,42.0,2,101348.88,0.0,1,Yes,Yes,1
15647311,Hill,608,Spain,Female,41.0,1,112542.58,83807.86,1,Yes,Yes,0
15619304,Onio,502,France,Female,42.0,8,113931.57,159660.8,3,No,No,1
15701354,Boni,699,France,Female,39.0,1,93826.63,0.0,2,No,No,0
15737888,Mitchell,850,Spain,Female,43.0,2,79084.1,125510.82,1,Yes,Yes,0
15574012,Chu,645,Spain,Male,44.0,8,149756.71,113755.78,2,No,No,1
15592531,Bartlett,822,France,Male,50.0,7,10062.8,0.0,2,Yes,Yes,0
15656148,Obinna,376,Germany,Female,29.0,4,119346.88,115046.74,4,No,No,1
15792365,He,501,France,Male,44.0,4,74940.5,142051.07,2,Yes,Yes,0
15592389,H?,684,France,Male,27.0,2,71725.73,134603.88,1,Yes,Yes,0
15767821,Bearce,528,France,Male,31.0,6,80181.12,102016.72,2,No,No,0
15737173,Andrews,497,Spain,Male,24.0,3,76390.01,0.0,2,No,No,0
15632264,Kay,476,France,Female,34.0,10,26260.98,0.0,2,No,No,0
15691483,Chin,549,France,Female,25.0,5,190857.79,0.0,2,No,No,0
15600882,Scott,635,Spain,Female,35.0,7,65951.65,0.0,2,Yes,Yes,0
15643966,Goforth,616,Germany,Male,45.0,3,64327.26,143129.41,2,Yes,Yes,0
15737452,Romeo,653,Germany,Male,58.0,1,5097.67,132602.88,1,No,No,1
15788218,Henderson,549,Spain,Female,24.0,9,14406.41,0.0,2,Yes,Yes,0
15661507,Muldrow,587,Spain,Male,45.0,6,158684.81,0.0,1,No,No,0
15568982,Hao,726,France,Female,24.0,6,54724.03,0.0,2,Yes,Yes,0
15577657,McDonald,732,France,Male,41.0,8,170886.17,0.0,2,Yes,Yes,0
15597945,Dellucci,636,Spain,Female,32.0,8,138555.46,0.0,2,No,No,0
15699309,Gerasimov,510,Spain,Female,38.0,4,118913.53,0.0,1,No,No,1
